PLAYER,TEAM,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,STARTER,HOME,GP
Larry Nance,POR,18.1788,2.25,4.125,0.5077,0.5,1.375,0.2083,0.125,0.25,0.0625,1.125,4.125,5.25,1.0,0.75,0.375,1.125,1.75,5.125,2.375,0.0,0.5,8
Lauri Markkanen,CLE,30.7272,4.375,12.125,0.3785,1.75,6.25,0.2785,2.375,2.75,0.6458,1.25,4.625,5.875,1.5,1.25,1.0,0.875,1.25,12.875,-2.0,1.0,0.25,8
LeBron James,LAL,27.7875,7.125,15.25,0.3459,2.125,6.125,0.2569,2.25,2.875,0.5938,0.375,3.75,4.125,5.25,1.75,0.625,3.125,1.75,18.625,1.875,0.75,0.75,8
Leandro Bolmaro,MIN,0.8336,0.0,0.1429,0.0,0.0,0.0,0.0,0.2857,0.2857,0.1429,0.1429,0.0,0.1429,0.0,0.0,0.0,0.1429,0.0,0.2857,-1.4286,0.0,0.8571,7
Lonnie Walker,SAS,24.7461,4.25,10.375,0.3996,2.0,5.875,0.3697,1.25,1.5,0.625,0.125,3.25,3.375,3.25,0.875,0.375,1.625,1.125,11.75,3.75,0.375,0.5,8
Lonzo Ball,CHI,34.5192,4.5,10.75,0.4129,2.75,6.75,0.3992,0.625,0.75,0.3125,0.875,4.75,5.625,4.5,2.0,1.125,3.0,2.125,12.375,7.75,1.0,0.5,8
Lou Williams,ATL,8.5146,1.2857,3.8571,0.25,0.2857,1.2857,0.2143,1.0,1.0,0.5714,0.1429,1.1429,1.2857,1.0,0.4286,0.1429,0.1429,0.4286,3.8571,-0.1429,0.0,0.4286,7
Louis King,SAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Luguentz Dort,OKC,27.3275,3.2857,9.2857,0.3018,1.0,4.4286,0.2,2.4286,2.8571,0.7143,0.7143,2.4286,3.1429,1.8571,1.0,0.2857,1.7143,1.8571,10.0,-9.2857,0.8571,0.4286,7
Luka Dončić,DAL,34.5329,9.125,21.625,0.4201,2.0,7.875,0.2505,3.625,5.25,0.5958,0.5,7.75,8.25,7.125,1.0,0.5,4.125,2.125,23.875,-10.5,1.0,0.5,8
Luka Garza,DET,5.6266,0.7143,1.7143,0.2619,0.2857,0.8571,0.0953,0.5714,0.7143,0.3571,0.4286,0.4286,0.8571,0.1429,0.5714,0.1429,0.2857,1.4286,2.2857,-4.1429,0.0,0.4286,7
Luke Kennard,LAC,27.7255,4.0,9.2857,0.4262,2.8571,6.4286,0.453,0.7143,0.7143,0.4286,0.1429,3.1429,3.2857,2.1429,0.5714,0.1429,0.2857,1.2857,11.5714,5.1429,0.0,0.5714,7
Malachi Flynn,TOR,2.3626,0.1111,0.5556,0.037,0.1111,0.2222,0.0556,0.0,0.0,0.0,0.0,0.3333,0.3333,0.4444,0.1111,0.0,0.0,0.2222,0.3333,1.8889,0.0,0.5556,9
